SHA,cbo,wmc,dit,rfc,lcom,totalMethods,totalFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,uniqueWordsQty,defect
0335aac8ff7161d9401abbd8f701483035d33bd30,7,129,1,78,216,33,23,5,454,32,20,29,3,12,28,34,76,18,58,9,166,0
0335aac8ff7161d9401abbd8f701483035d33bd31,17,127,1,70,220,33,23,0,451,32,20,28,3,12,28,33,76,18,58,9,166,1
033c27b98e2d194a9c01fe45f7185fe8e0f984ca0,17,111,3,100,1001,67,14,8,649,27,4,25,6,3,15,13,50,6,30,4,366,0
033c27b98e2d194a9c01fe45f7185fe8e0f984ca1,36,111,2,90,1001,67,14,0,649,27,4,25,6,3,15,13,50,6,30,4,366,1
03432660ffd186bc04e53f62ca53178fa60b62ea0,8,6,1,10,6,4,2,0,44,0,2,2,0,0,0,0,8,0,6,1,68,0
03432660ffd186bc04e53f62ca53178fa60b62ea1,10,8,1,11,10,5,2,0,51,0,3,3,0,0,0,0,10,0,7,1,68,1
034c526c9ae23442198504d3b0af6db575390e070,11,10,3,23,3,7,5,1,68,5,0,3,1,0,7,4,12,1,10,2,97,0
034c526c9ae23442198504d3b0af6db575390e071,15,10,2,23,3,7,5,0,68,5,0,3,1,0,7,4,12,1,10,2,97,1
0353888a2f45d43a27111e9f27b4ea953d57b29e0,18,4,2,13,0,3,4,0,65,3,0,0,1,0,13,3,7,3,9,1,37,0
0353888a2f45d43a27111e9f27b4ea953d57b29e1,17,4,1,12,0,3,4,0,65,3,0,0,1,0,13,3,7,3,9,1,37,1
03f77db1b58d130239384b9196b04655b6b1fa451,1,18,1,0,153,18,0,0,107,0,0,0,0,0,0,0,0,0,0,0,127,1
03f8d3772fcdcd84ef8b8edd4a8e3cdc1e0c03df0,4,49,1,11,74,20,9,3,214,13,1,12,1,3,12,41,33,30,19,2,193,0
03f8d3772fcdcd84ef8b8edd4a8e3cdc1e0c03df1,10,49,1,11,74,20,9,0,214,13,1,12,1,3,12,40,33,29,19,2,193,1
041d650753ff4b846fc86e4266658fc64046bc450,9,18,1,17,2,8,2,0,68,2,0,6,0,1,0,0,11,0,7,3,80,0
041d650753ff4b846fc86e4266658fc64046bc451,8,18,1,17,2,8,2,0,68,2,0,6,0,1,0,0,11,0,7,3,80,1
0430dbc7bf29c5eecf0b342d7fefba1cd9d81e0a0,14,12,3,22,1,3,0,1,58,6,2,3,0,0,5,3,8,1,8,2,41,0
0430dbc7bf29c5eecf0b342d7fefba1cd9d81e0a1,15,11,2,20,1,3,0,0,55,5,2,2,0,0,5,3,8,1,8,2,41,1
0449159c35f5c98599f90ea8a108a82dcbb4b36b0,33,188,11,141,1001,54,30,3,802,7,2,60,0,8,13,51,74,13,60,7,316,0
0449159c35f5c98599f90ea8a108a82dcbb4b36b1,34,188,8,137,1001,54,30,0,800,7,2,60,0,8,13,51,72,11,58,7,315,1
0449d31afae47c00ece64dd11aff8f7a261df5a60,2,3,2,2,0,3,1,0,14,1,0,0,0,0,3,0,2,2,1,0,10,0
0449d31afae47c00ece64dd11aff8f7a261df5a61,2,1,1,2,0,1,0,0,7,1,0,0,0,0,1,0,0,1,0,0,9,1
04bb521346b25b2120685b96585903e257849f1d1,52,61,4,73,92,27,17,0,363,7,7,14,3,3,23,7,45,3,36,11,263,1
04dc3b3fb49e1265115a6a40be0157e5d3237a1e0,35,42,10,78,137,38,8,2,288,2,2,2,0,7,0,21,32,15,32,2,173,0
04dc3b3fb49e1265115a6a40be0157e5d3237a1e1,29,42,9,78,137,38,8,0,288,2,2,2,0,7,0,21,32,15,32,2,174,1
04fad24c244449bf6df61d0d62dbef36b500be830,8,84,2,58,0,53,2,18,547,64,2,14,0,1,0,2,34,3,23,4,217,0
04fad24c244449bf6df61d0d62dbef36b500be831,28,84,2,43,0,53,2,0,547,64,2,14,0,1,0,2,34,3,23,4,216,1
04fc323c03be51ebf1dae6039a3bd05628a956c70,23,54,5,77,177,24,7,7,240,17,1,14,6,2,14,1,31,6,23,7,136,0
04fc323c03be51ebf1dae6039a3bd05628a956c71,30,52,4,68,181,24,7,0,238,17,1,13,6,2,12,1,29,6,21,7,136,1
05189dadbf128d040059540a68607fd61a7b489e0,15,52,3,34,49,19,9,1,349,24,1,6,13,0,72,5,52,5,33,5,206,0
05189dadbf128d040059540a68607fd61a7b489e1,16,52,2,34,49,19,9,0,349,24,1,6,13,0,72,5,52,5,33,5,206,1
0521590861ce234b21b1abc7687308b4b6eebb8e0,36,156,10,128,1194,68,64,5,706,23,6,41,0,4,2,82,175,59,124,5,316,0
0521590861ce234b21b1abc7687308b4b6eebb8e1,37,156,9,128,1194,68,64,0,706,23,6,41,0,4,2,82,175,59,124,5,316,1
05d7605ef3d0bae785b7c7c588f4a3f67e0c57d81,27,45,4,45,67,16,6,0,251,9,6,2,9,0,16,5,32,2,24,3,263,1
05e55be103956d4587dc009744230c751fce8fb60,7,11,1,15,32,9,2,8,47,7,0,0,1,1,2,0,4,3,3,1,84,0
05e55be103956d4587dc009744230c751fce8fb61,11,11,1,15,32,9,2,0,47,7,0,0,1,1,2,0,4,3,3,1,85,1
05f24d0d7fc501567ea85cd46ca711370b8b57970,14,59,7,51,0,12,14,1,378,9,2,22,4,1,41,14,56,9,42,19,273,0
05f24d0d7fc501567ea85cd46ca711370b8b57971,34,59,5,48,0,12,14,0,378,9,2,22,4,1,41,14,56,9,42,19,273,1
05fd3032ec2f6837efbd13e4b3c1ce5cb69001670,8,23,1,10,0,4,16,11,78,3,0,8,1,2,15,2,30,0,22,2,71,0
05fd3032ec2f6837efbd13e4b3c1ce5cb69001671,5,23,1,7,0,4,16,0,76,3,0,8,1,3,16,2,28,1,20,2,65,1
060f942df9b1cbb0e452c5577010aaa084479cc70,10,5,2,19,1,2,2,0,30,2,0,2,1,0,5,1,6,1,6,2,51,0
060f942df9b1cbb0e452c5577010aaa084479cc71,8,5,1,20,1,2,2,0,30,2,0,2,1,0,5,1,6,1,6,2,51,1
061154bb62d51d15a77e43d836e45e0470e4864d0,5,23,1,20,9,7,6,1,131,5,0,2,3,0,19,3,23,2,17,3,125,0
061154bb62d51d15a77e43d836e45e0470e4864d1,9,23,1,19,9,7,6,0,131,5,0,2,3,0,19,3,23,2,17,3,125,1
07773b96802d62635e3f85fde72351bb3819bb971,9,11,1,8,21,7,0,0,28,5,0,4,0,0,2,1,1,0,1,1,24,1
0777590fb17fd79cc97c6895643f36ee1503947b0,40,64,2,117,93,18,24,10,333,14,10,10,10,0,67,16,80,12,74,5,319,0
0777590fb17fd79cc97c6895643f36ee1503947b1,48,64,1,115,93,18,24,0,333,14,10,10,10,0,67,16,80,12,74,5,319,1
0781df0a3ed2af49b89291bbdd8dd775d70cf0c70,10,16,1,12,4,5,8,0,78,6,0,10,0,0,4,1,18,0,16,5,100,0
0781df0a3ed2af49b89291bbdd8dd775d70cf0c71,10,15,1,11,4,4,8,0,70,5,0,10,0,0,4,1,16,0,15,5,100,1
0787a669d6a64d9f298dad41e7e26c664b8a8f040,16,25,1,21,9,10,13,1,100,2,1,8,2,0,7,10,22,5,22,4,84,0
0787a669d6a64d9f298dad41e7e26c664b8a8f041,19,25,1,21,9,10,13,0,100,2,1,8,2,0,7,10,22,5,22,4,84,1
0789558e6534baaf23691f26fa5dd16607f9fba60,29,116,8,77,801,55,32,3,632,26,5,17,0,20,3,44,159,78,114,6,299,0
0789558e6534baaf23691f26fa5dd16607f9fba61,27,114,5,76,801,55,32,0,628,26,5,17,0,19,3,43,158,75,113,6,297,1
078b5ef6a0393825a47fe27bed1bc9bcde47468a0,22,170,5,111,169,32,33,1,722,35,35,37,2,20,360,25,113,89,92,7,226,0
078b5ef6a0393825a47fe27bed1bc9bcde47468a1,38,170,5,103,169,32,33,0,722,35,35,37,2,20,360,25,113,89,92,7,226,1
07dc19d145cc03b08aeaa3c211436ee0143dbbbd1,11,24,1,0,276,24,0,0,142,0,0,0,0,0,0,0,0,0,0,0,134,1
07dd632e52fe63dafef3c3aed623b3cf4f58a6c40,24,108,2,93,304,29,12,1,415,26,2,32,3,3,49,14,75,14,44,5,229,0
07dd632e52fe63dafef3c3aed623b3cf4f58a6c41,33,104,1,87,276,28,12,0,401,25,2,30,3,3,51,11,71,13,42,5,208,1
080e8ef3dd7e3736a9ed83fdb34127726a6146770,8,6,2,12,1,2,0,0,30,1,0,0,1,0,4,0,3,2,3,4,31,0
080e8ef3dd7e3736a9ed83fdb34127726a6146771,8,9,1,11,10,5,0,0,34,1,0,0,1,0,4,0,3,2,3,3,36,1
08198c0e0eb7834ed69ad6d7850992ab31b71b080,4,11,1,2,47,11,4,1,44,5,0,0,0,0,0,0,4,0,4,0,43,0
08198c0e0eb7834ed69ad6d7850992ab31b71b081,5,11,1,2,47,11,4,0,44,5,0,0,0,0,0,0,4,0,4,0,43,1
082c2b7f7f8d596d584159fdb1da7678b2fb47b20,34,113,24,95,62,48,5,21,917,67,4,27,2,26,46,15,78,3,38,18,362,0
082c2b7f7f8d596d584159fdb1da7678b2fb47b21,48,113,18,89,62,48,5,0,917,67,4,27,2,26,46,15,78,3,38,18,362,1
085b3c9c901107c0da1b47dea6f042f43958b2060,26,46,5,42,141,28,3,0,211,18,1,6,0,1,0,0,11,0,11,3,111,0
085b3c9c901107c0da1b47dea6f042f43958b2061,27,46,3,42,141,28,3,0,211,18,1,6,0,1,0,0,11,0,11,3,110,1
08bd1c04dc123b1fa7df32e27e936eb4bed006401,24,44,1,54,55,11,5,0,194,17,6,7,2,0,8,8,54,3,39,5,134,1
08d337365e11007f7a2edac4902f26737fdaeb660,13,27,1,17,0,16,10,1,150,11,4,1,0,0,0,4,23,0,21,3,163,0
08d337365e11007f7a2edac4902f26737fdaeb661,9,27,1,17,4,16,10,0,150,11,4,1,0,0,0,4,23,0,21,3,163,1
08dd146508c894b3746092b2320c0eae64956d650,2,38,1,3,76,24,11,2,161,14,3,4,0,0,2,26,75,34,39,2,60,0
08dd146508c894b3746092b2320c0eae64956d651,2,38,1,3,76,24,11,0,161,14,3,4,0,0,2,26,75,34,39,2,60,1
08fbafa920e04be1aed7ebd95e26813dd81a82050,7,24,2,33,22,8,1,1,93,1,4,3,0,0,10,5,16,5,14,6,72,0
08fbafa920e04be1aed7ebd95e26813dd81a82051,8,23,1,29,22,8,1,0,89,1,4,2,0,0,9,5,16,5,14,6,62,1
090ae9f9bf74c7e71a25d08828154d5245af47ab0,11,119,2,45,336,55,9,12,969,8,11,43,0,39,26,231,137,426,96,2,323,0
090ae9f9bf74c7e71a25d08828154d5245af47ab1,9,119,2,41,336,55,9,0,969,8,11,43,0,39,26,231,137,426,96,2,323,1
092073893201d515eb2ee375849efae7cc9065db0,9,169,11,98,655,73,17,53,838,108,7,34,12,24,48,106,134,82,85,16,294,0
092073893201d515eb2ee375849efae7cc9065db1,50,169,11,93,655,73,17,0,838,108,7,34,12,24,48,106,134,82,85,16,294,1
098bba1a0b95f65b8613a4313571be9ef0835ce61,26,274,1,165,0,183,20,0,799,36,10,64,0,14,24,41,131,10,124,3,288,1
0999a6a469c305cb651433f30392c1c5138b48520,72,74,22,65,489,59,14,1,494,57,0,6,0,1,8,16,27,3,22,4,321,0
0999a6a469c305cb651433f30392c1c5138b48521,70,73,22,65,458,58,14,0,491,57,0,6,0,1,7,16,27,3,22,4,320,1
09a7dd75795eeaf4a2e3314230e288dedb6038f20,22,91,2,92,0,15,23,7,309,14,5,36,0,3,0,42,93,22,70,5,123,0
09a7dd75795eeaf4a2e3314230e288dedb6038f21,22,91,1,84,0,15,23,0,309,14,5,36,0,3,0,38,93,22,70,5,123,1
09ef2a0818c6bb899328da6974a018fb7e2b25470,71,381,26,262,3786,135,107,141,2059,101,24,63,17,32,394,115,295,129,205,11,1334,0
09ef2a0818c6bb899328da6974a018fb7e2b25471,110,381,12,236,3786,135,107,0,2059,101,24,63,17,32,394,115,295,129,205,11,1334,1
0a009cf81ca7080d309645be82248c86b0a108f40,16,280,3,55,850,50,25,49,1081,89,14,52,0,164,9,236,352,501,237,5,441,0
0a009cf81ca7080d309645be82248c86b0a108f41,9,280,3,52,850,50,25,0,1081,89,14,52,0,164,9,236,352,501,237,5,441,1
0a062443e4d1cf8d313781a3c0a0c5b5b62fb19c0,14,24,8,24,1,8,4,5,153,6,0,10,4,0,6,6,25,1,18,5,127,0
0a062443e4d1cf8d313781a3c0a0c5b5b62fb19c1,26,24,4,24,1,8,4,0,153,6,0,10,4,0,6,5,25,1,18,5,127,1
0a78e8061b358bc2cbf89e949366ad5c4980b65b1,3,10,1,9,2,5,5,0,48,1,0,1,0,1,9,2,12,3,8,2,43,1
0aa5bb6a099fd7bcfefcf7eeffa48f6a133dca080,2,22,1,9,1,2,8,4,93,1,2,0,0,0,5,9,22,1,13,3,34,0
0aa5bb6a099fd7bcfefcf7eeffa48f6a133dca081,4,24,1,11,3,3,3,0,73,2,3,2,1,1,6,5,14,1,10,4,37,1
0aaa3ee2a57093588b42c1abd0151e77608c21150,51,234,4,196,2599,82,34,5,894,40,4,100,5,3,105,13,161,24,130,5,338,0
0aaa3ee2a57093588b42c1abd0151e77608c21151,64,234,3,185,2599,82,34,0,894,40,4,100,5,3,105,13,161,24,130,5,338,1
0ae1dde1e24af995f109c79c6ccf5ce5f769fc7b0,54,98,2,6,4560,96,0,0,309,54,0,2,0,0,2,1,4,0,4,1,117,0
0ae1dde1e24af995f109c79c6ccf5ce5f769fc7b1,55,98,1,6,4560,96,0,0,309,54,0,2,0,0,2,1,4,0,4,1,117,1
0ae3dcb3a468cf496e948dbe500793512e63d5f60,47,113,16,126,890,102,9,0,701,18,0,3,0,0,24,12,29,8,27,5,575,0
0ae3dcb3a468cf496e948dbe500793512e63d5f61,49,115,13,129,957,103,9,0,721,18,0,3,0,0,24,12,30,8,28,5,581,1
0af35511939a1f437d5ef747daec1234c7c45d920,58,64,10,130,126,36,21,6,561,13,2,10,0,0,12,13,76,7,68,8,274,0
0af35511939a1f437d5ef747daec1234c7c45d921,58,67,7,126,126,37,21,0,577,15,3,10,0,0,11,13,77,7,69,9,277,1
0b48aba4487062ddc8a5f5079513b30b6060a3181,15,36,3,86,58,16,10,4,177,11,0,3,3,3,24,5,25,0,20,4,137,1
0b633280b930a9270f6a581ddc4c063900c7da0d0,70,325,12,135,2961,100,31,3,1649,64,34,57,0,24,10,73,180,44,141,16,770,0
0b633280b930a9270f6a581ddc4c063900c7da0d1,67,325,12,118,2961,100,31,0,1649,64,34,57,0,24,10,73,180,44,141,16,769,1
0b6e6f3a375d82aab1a1f17b034e666c63f611030,2,48,1,42,64,12,5,11,156,12,4,15,3,1,13,30,36,13,23,6,85,0
0b6e6f3a375d82aab1a1f17b034e666c63f611031,13,42,1,39,53,11,5,0,132,10,3,14,3,0,13,22,29,11,19,6,82,1
0b7672d12d6c7c16960510f784590fcb9c84c2f80,14,24,2,24,0,12,5,1,88,4,0,6,1,1,8,1,14,0,9,1,58,0
0b7672d12d6c7c16960510f784590fcb9c84c2f81,21,23,1,23,0,12,5,0,81,3,0,6,0,1,7,1,14,0,9,1,54,1
0b972f8c08ba8a8bb8f532955a5a67fc53883e500,34,29,3,45,1,13,19,0,142,1,0,6,0,1,11,12,19,0,36,1,129,0
0b972f8c08ba8a8bb8f532955a5a67fc53883e501,34,29,2,45,1,13,19,0,142,1,0,6,0,1,11,12,19,0,36,1,129,1
0b9f663d57c728f4628be6a5d99b4fececf6a21b0,126,6,1,13,0,1,1,0,232,3,1,1,1,0,187,0,4,1,4,2,167,0
0b9f663d57c728f4628be6a5d99b4fececf6a21b1,128,6,1,13,0,1,1,0,232,3,1,1,1,0,187,0,4,1,4,2,167,1
0ce0845ca77900656916ac15828f51002936cce91,10,167,2,121,3060,82,45,20,680,58,9,12,12,10,60,27,172,10,120,4,286,1
0cf1f0d51c04cb82f6ffb5773fe5c28fa285c9420,12,87,2,33,124,17,3,0,226,29,4,29,0,11,0,119,48,11,24,3,101,0
0cf1f0d51c04cb82f6ffb5773fe5c28fa285c9421,9,87,1,33,124,17,3,0,226,29,4,29,0,11,0,119,48,11,24,3,101,1
0cfb21b3af77787d08d9ab042f9c7d1313e7b8e60,39,271,3,213,1095,63,24,1,967,68,26,102,8,7,25,29,238,13,196,6,282,0
0cfb21b3af77787d08d9ab042f9c7d1313e7b8e61,51,271,3,188,1095,63,24,0,967,68,26,102,8,7,25,29,238,13,196,6,282,1
0d04cfdcfae73f9a97340010558ff3339bf192ee0,22,0,3,0,0,0,0,0,40,0,0,0,0,0,18,0,0,0,0,0,29,0
0d04cfdcfae73f9a97340010558ff3339bf192ee1,22,0,3,0,0,0,0,0,40,0,0,0,0,0,18,0,0,0,0,0,29,1
0d0b24e689b7f82f25f36a196cbf0c88cbb270ed0,1,6,1,5,0,2,2,1,31,2,0,3,1,1,3,2,6,2,3,3,16,0
0d0b24e689b7f82f25f36a196cbf0c88cbb270ed1,7,5,1,5,0,2,2,0,28,1,0,2,1,1,3,2,6,2,3,3,16,1
0d39c487e922509f21532d9f4459808f7f54d3420,45,146,10,120,2,75,18,1,591,31,2,43,1,6,3,54,87,10,55,9,285,0
0d39c487e922509f21532d9f4459808f7f54d3421,39,145,7,119,2,75,18,0,591,31,2,42,1,6,3,54,87,10,55,8,280,1
0d8f60467eab4248f214fad76efbb7098bb669861,16,37,3,44,0,19,14,4,225,11,4,10,0,0,12,8,29,2,24,5,127,1
0da57c3851c6f747aa27ec0ead06086b55bd098f0,27,42,3,31,127,23,3,1,190,23,1,16,0,1,14,1,10,0,10,6,132,0
0da57c3851c6f747aa27ec0ead06086b55bd098f1,32,42,2,31,127,23,3,0,190,23,1,16,0,1,14,1,10,0,10,6,132,1
0dbfff5ad2927871fa4f70cfbd6a5b554c8450b40,15,10,2,25,3,6,4,0,75,1,1,0,1,0,1,0,10,1,10,3,60,0
0dbfff5ad2927871fa4f70cfbd6a5b554c8450b41,18,10,2,24,1,6,4,0,75,1,1,0,1,0,1,0,11,1,11,3,59,1
